,G#,Date,Tm,Away,Opp,FantPt,Name,Position,Season
0,1.0,2021-09-12,IND,0,SEA,11.6,Jonathan Taylor,RB,2021
1,2.0,2021-09-19,IND,0,LAR,5.3,Jonathan Taylor,RB,2021
2,3.0,2021-09-26,IND,1,TEN,7.2,Jonathan Taylor,RB,2021
3,4.0,2021-10-03,IND,1,MIA,17.4,Jonathan Taylor,RB,2021
4,5.0,2021-10-11,IND,1,BAL,28.9,Jonathan Taylor,RB,2021
5,6.0,2021-10-17,IND,0,HOU,27.8,Jonathan Taylor,RB,2021
6,7.0,2021-10-24,IND,1,SFO,15.0,Jonathan Taylor,RB,2021
7,8.0,2021-10-31,IND,0,TEN,18.2,Jonathan Taylor,RB,2021
8,9.0,2021-11-04,IND,0,NYJ,32.0,Jonathan Taylor,RB,2021
9,10.0,2021-11-14,IND,0,JAX,18.6,Jonathan Taylor,RB,2021
10,11.0,2021-11-21,IND,1,BUF,50.4,Jonathan Taylor,RB,2021
11,12.0,2021-11-28,IND,0,TAM,15.7,Jonathan Taylor,RB,2021
12,13.0,2021-12-05,IND,1,HOU,24.3,Jonathan Taylor,RB,2021
13,14.0,2021-12-18,IND,0,NWE,23.0,Jonathan Taylor,RB,2021
14,15.0,2021-12-25,IND,1,ARI,10.8,Jonathan Taylor,RB,2021
15,16.0,2022-01-02,IND,0,LVR,17.4,Jonathan Taylor,RB,2021
16,17.0,2022-01-09,IND,1,JAX,9.5,Jonathan Taylor,RB,2021
0,1.0,2021-09-12,LAR,0,CHI,16.8,Cooper Kupp,WR,2021
1,2.0,2021-09-19,LAR,1,IND,27.8,Cooper Kupp,WR,2021
2,3.0,2021-09-26,LAR,0,TAM,21.6,Cooper Kupp,WR,2021
3,4.0,2021-10-03,LAR,0,ARI,6.4,Cooper Kupp,WR,2021
4,5.0,2021-10-07,LAR,1,SEA,9.2,Cooper Kupp,WR,2021
5,6.0,2021-10-17,LAR,1,NYG,25.0,Cooper Kupp,WR,2021
6,7.0,2021-10-24,LAR,0,DET,27.6,Cooper Kupp,WR,2021
7,8.0,2021-10-31,LAR,1,HOU,17.5,Cooper Kupp,WR,2021
8,9.0,2021-11-07,LAR,0,TEN,9.5,Cooper Kupp,WR,2021
9,10.0,2021-11-15,LAR,1,SFO,12.2,Cooper Kupp,WR,2021
