,Tm,Passing,Passing,Passing,Rushing,Rushing,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,TotalPtsAllowed,Rank,Rank,Rank,Rank
,Tm,Cmp,Yds,TD,Yds,TD,Passing,Receiving,ReceivingPPR,Rushing,ReceivingPPR,Receiving,Rushing,Passing
0,New England Patriots,368.0,3806.0,21.0,1417.0,6.0,236.24,506.6,874.6,177.7,11.0,10.0,1.0,11.0
1,New York Giants,369.0,4018.0,15.0,1417.0,10.0,220.72,491.8,860.8,201.7,9.0,9.0,4.0,7.0
2,Seattle Seahawks,331.0,3612.0,16.0,1487.0,16.0,208.48,457.2,788.2,244.7,4.0,3.0,14.0,2.0
3,Denver Broncos,306.0,2972.0,13.0,2085.0,15.0,170.88,375.2,681.2,298.5,1.0,1.0,27.0,1.0
4,Dallas Cowboys,425.0,4167.0,25.0,1336.0,9.0,266.68,566.7,991.7,187.6,28.0,21.0,2.0,19.0
5,Minnesota Vikings,332.0,3327.0,22.0,1711.0,9.0,221.08,464.7,796.7,225.1,5.0,6.0,10.0,8.0
6,Kansas City Chiefs,350.0,3958.0,23.0,1938.0,10.0,250.32,533.8,883.8,253.8,12.0,15.0,18.0,14.0
7,Cincinnati Bengals,374.0,3800.0,22.0,1812.0,12.0,240.0,512.0,886.0,253.2,13.0,12.0,17.0,12.0
8,Baltimore Ravens,369.0,3724.0,28.0,1430.0,10.0,260.96000000000004,540.4,909.4,203.0,19.0,16.0,5.0,18.0
9,Pittsburgh Steelers,381.0,3882.0,20.0,1600.0,15.0,235.28,508.2,889.2,250.0,16.0,11.0,16.0,10.0
10,Houston Texans,319.0,3226.0,20.0,1595.0,13.0,209.04,442.6,761.6,237.5,2.0,2.0,12.0,3.0
11,Philadelphia Eagles,333.0,3832.0,25.0,1652.0,10.0,253.28,533.2,866.2,225.2,10.0,14.0,11.0,16.0
12,Detroit Lions,399.0,3975.0,33.0,1701.0,8.0,291.0,595.5,994.5,218.1,30.0,28.0,8.0,29.0
13,Arizona Cardinals,344.0,3365.0,21.0,1518.0,16.0,218.6,462.5,806.5,247.8,6.0,4.0,15.0,5.0
14,Tampa Bay Buccaneers,347.0,4012.0,24.0,1875.0,15.0,256.48,545.2,892.2,277.5,17.0,18.0,24.0,17.0
15,Tennessee Titans,388.0,4307.0,25.0,1413.0,10.0,272.28,580.7,968.7,201.3,26.0,25.0,3.0,20.0
16,Buffalo Bills,306.0,3582.0,19.0,2130.0,21.0,219.28,472.2,778.2,339.0,3.0,7.0,31.0,6.0
17,Miami Dolphins,368.0,3875.0,30.0,2247.0,12.0,275.0,567.5,935.5,296.7,22.0,22.0,26.0,23.0
18,Washington Redskins,387.0,4130.0,22.0,1916.0,19.0,253.2,545.0,932.0,305.6,21.0,17.0,29.0,15.0
19,Oakland Raiders,328.0,4120.0,27.0,1881.0,18.0,272.8,574.0,902.0,296.1,18.0,24.0,25.0,21.0
20,Green Bay Packers,370.0,4308.0,32.0,1515.0,11.0,300.32,622.8,992.8,217.5,29.0,32.0,7.0,31.0
21,Indianapolis Colts,378.0,4200.0,27.0,1926.0,12.0,276.0,582.0,960.0,264.6,24.0,26.0,20.0,25.0
22,Los Angeles Rams,378.0,3732.0,32.0,1660.0,12.0,277.28,565.2,943.2,238.0,23.0,20.0,13.0,26.0
23,Chicago Bears,342.0,3598.0,22.0,1950.0,18.0,231.92,491.8,833.8,303.0,8.0,9.0,28.0,9.0
24,Jacksonville Jaguars,345.0,3444.0,20.0,1703.0,17.0,217.76,464.4,809.4,272.3,7.0,5.0,21.0,4.0
25,Carolina Panthers,409.0,4291.0,27.0,1465.0,11.0,279.64,591.1,1000.1,212.5,31.0,27.0,6.0,27.0
26,Atlanta Falcons,422.0,4267.0,31.0,1672.0,15.0,294.68,612.7,1034.7,257.2,32.0,30.0,19.0,30.0
27,New York Jets,347.0,3898.0,30.0,1581.0,11.0,275.91999999999996,569.8,916.8,224.1,20.0,23.0,9.0,24.0
28,San Diego Chargers,364.0,3987.0,21.0,1567.0,20.0,243.48,524.7,888.7,276.7,15.0,13.0,23.0,13.0
29,Cleveland Browns,347.0,3996.0,36.0,2283.0,18.0,303.84000000000003,615.6,962.6,336.3,25.0,31.0,30.0,32.0
30,New Orleans Saints,378.0,4380.0,27.0,1626.0,19.0,283.2,600.0,978.0,276.6,27.0,29.0,22.0,28.0
31,San Francisco 49ers,322.0,3848.0,30.0,2654.0,25.0,273.91999999999996,564.8,886.8,415.4,14.0,19.0,32.0,22.0
