,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Unnamed: 43_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps
,Rk,Date,G#,Week,Age,Tm,Unnamed: 6_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
0,1.0,2021-09-12,1.0,1.0,28.089,LAR,,CHI,W 34-14,*,10,7,108,15.43,1,70.0%,10.8,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,49.0,94%,0.0,0%,3.0,15%
1,2.0,2021-09-19,2.0,2.0,28.096,LAR,@,IND,W 27-24,*,11,9,163,18.11,2,81.8%,14.82,1,-5,-5.0,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,59.0,100%,0.0,0%,5.0,19%
2,3.0,2021-09-26,3.0,3.0,28.103,LAR,,TAM,W 34-24,*,12,9,96,10.67,2,75.0%,8.0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,53.0,82%,0.0,0%,7.0,23%
3,4.0,2021-10-03,4.0,4.0,28.11,LAR,,ARI,L 20-37,*,13,5,64,12.8,0,38.5%,4.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,65.0,96%,0.0,0%,7.0,25%
4,5.0,2021-10-07,5.0,5.0,28.114,LAR,@,SEA,W 26-17,*,10,7,92,13.14,0,70.0%,9.2,0,0,,0,0,0,,0,0,0,,0,0,,,1,12,12.0,0,0,0,,0,,0,0,0.0,0,0,0,0,0,59.0,88%,0.0,0%,7.0,25%
5,6.0,2021-10-17,6.0,6.0,28.124,LAR,@,NYG,W 38-11,*,12,9,130,14.44,2,75.0%,10.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.0,0,,2,12,0.0,1,0,1,0,0,55.0,83%,0.0,0%,2.0,7%
6,7.0,2021-10-24,7.0,7.0,28.131,LAR,,DET,W 28-19,*,13,10,156,15.6,2,76.9%,12.0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,63.0,97%,0.0,0%,1.0,4%
7,8.0,2021-10-31,8.0,8.0,28.138,LAR,@,HOU,W 38-22,*,9,7,115,16.43,1,77.8%,12.78,0,0,,0,0,0,,0,0,0,,0,0,,,1,8,8.0,0,0,0,,0,,1,6,0.0,0,0,0,0,0,58.0,87%,0.0,0%,7.0,21%
8,9.0,2021-11-07,9.0,9.0,28.145,LAR,,TEN,L 16-28,*,13,11,95,8.64,0,84.6%,7.31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,78.0,100%,0.0,0%,4.0,15%
9,10.0,2021-11-15,10.0,10.0,28.153,LAR,@,SFO,L 10-31,*,13,11,122,11.09,0,84.6%,9.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,55.0,100%,0.0,0%,1.0,4%
10,11.0,2021-11-28,11.0,12.0,28.166,LAR,@,GNB,L 28-36,*,10,7,96,13.71,0,70.0%,9.6,0,0,,0,0,1,0.0,0,0,0,39.6,0,0,0.0,0.0,0,0,,0,0,0,,0,1.0,0,2,0.0,0,0,0,0,0,62.0,100%,0.0,0%,4.0,11%
11,12.0,2021-12-05,12.0,13.0,28.173,LAR,,JAX,W 37-7,*,10,8,129,16.13,1,80.0%,12.9,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,64.0,94%,0.0,0%,3.0,12%
12,13.0,2021-12-13,13.0,14.0,28.181,LAR,@,ARI,W 30-23,*,15,13,123,9.46,1,86.7%,8.2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,52.0,90%,0.0,0%,1.0,4%
13,14.0,2021-12-21,14.0,15.0,28.189,LAR,,SEA,W 20-10,*,13,9,136,15.11,2,69.2%,10.46,1,1,1.0,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,62.0,94%,0.0,0%,4.0,17%
14,15.0,2021-12-26,15.0,16.0,28.194,LAR,@,MIN,W 30-23,*,13,10,109,10.9,0,76.9%,8.38,1,4,4.0,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,68.0,97%,0.0,0%,2.0,6%
