,FantPt,FantPt,FantPt,FantPt,FantPt,Name,meanr,sumr,avgmeanrsumr,rank
,mean,min,max,std,sum,,,,,
Name,,,,,,,,,,
Adam Trautman,3.6300000000000003,0.3,11.8,3.731859828259601,36.300000000000004,,35.0,42.0,38.5,40.0
Albert Okwuegbunam,3.5833333333333335,0.5,10.1,3.0667819477673195,43.0,,36.0,30.0,33.0,32.0
Anthony Firkser,3.0066666666666664,-0.1,11.6,3.587770232065487,45.099999999999994,,41.0,29.0,35.0,38.0
Austin Hooper,4.038461538461538,0.4,9.0,2.8482563266960548,52.5,,30.0,26.0,28.0,27.0
Brevin Jordan,4.475,0.7,10.1,4.116430492550554,35.8,,25.0,44.0,34.5,37.0
C.J. Uzomah,5.286666666666666,0.4,21.5,6.758684008282199,79.3,,18.0,17.0,17.5,18.0
Cameron Brate,3.2333333333333334,0.8,7.1,2.250608383357285,48.5,,39.0,28.0,33.5,33.0
Cole Kmet,3.825,0.6,8.7,2.323933447125082,61.2,,33.0,22.0,27.5,25.0
Dallas Goedert,7.785714285714286,2.4,22.5,5.487588393240365,109.0,,6.0,8.0,7.0,7.0
Dalton Schultz,7.694117647058825,0.4,20.0,5.645182745960852,130.8,,7.0,3.0,5.0,5.0
Dan Arnold,4.08,0.6,8.7,2.650702213041333,40.8,,28.0,32.0,30.0,30.0
Darren Waller,7.136363636363637,2.2,16.5,4.474432417027376,78.5,,10.0,18.0,14.0,14.0
David Njoku,5.114285714285715,0.6,20.9,5.526837618922241,71.60000000000001,,20.0,20.0,20.0,19.0
Dawson Knox,8.221428571428572,1.4,17.7,5.30227506633906,115.1,,5.0,6.0,5.5,6.0
Donald Parham,3.9,0.3,10.9,4.054901012629313,39.0,,32.0,36.0,34.0,34.0
Durham Smythe,2.769230769230769,0.4,5.9,1.5134863810556822,36.0,,43.0,43.0,43.0,45.0
Evan Engram,3.7666666666666666,0.1,9.8,2.9925303833441856,56.5,,34.0,23.0,28.5,28.0
Foster Moreau,4.608333333333333,0.3,12.0,3.908838082028361,55.300000000000004,,23.0,25.0,24.0,23.0
Geoff Swaim,3.0,0.2,8.9,3.125433303293055,39.0,,42.0,36.0,39.0,41.0
George Kittle,9.071428571428571,1.0,30.6,8.436407234893716,127.0,,4.0,4.0,4.0,4.0
Gerald Everett,4.653333333333333,-3.3,12.8,4.160849272284045,69.8,,21.0,21.0,21.0,20.0
Harrison Bryant,3.4416666666666664,0.3,7.1,2.3086628689404267,41.3,,38.0,31.0,34.5,37.0
Hayden Hurst,3.463636363636364,0.4,8.1,2.831350464803934,38.1,,37.0,38.0,37.5,39.0
Hunter Henry,7.14375,0.9,19.7,5.396661776814749,114.3,,9.0,7.0,8.0,8.0
Jack Doyle,4.183333333333333,0.4,14.1,4.059295356078292,50.199999999999996,,27.0,27.0,27.0,24.0
Jared Cook,5.275,1.0,13.0,3.2080108062993387,84.4,,19.0,15.0,17.0,17.0
Jimmy Graham,4.077777777777778,0.9,9.4,3.6344799414007563,36.7,,29.0,40.0,34.5,37.0
Jonnu Smith,2.6266666666666665,0.4,7.4,2.278303462374288,39.4,,45.0,35.0,40.0,42.0
Josiah Deguara,3.0416666666666665,0.4,12.6,3.983935544689751,36.5,,40.0,41.0,40.5,43.0
Juwan Johnson,4.433333333333334,0.4,14.1,4.4266239957782725,39.9,,26.0,33.0,29.5,29.0
Kyle Pitts,6.388235294117647,0.8,17.9,4.714456802344939,108.6,,12.0,9.0,10.5,9.0
Logan Thomas,7.12,3.1,10.8,3.212008717298258,35.6,,11.0,45.0,28.0,27.0
Mark Andrews,11.41764705882353,2.0,30.7,7.801861580267049,194.1,,1.0,1.0,1.0,1.0
Mike Gesicki,6.133333333333334,1.7,14.5,3.808011604624174,92.0,,14.0,11.0,12.5,12.0
Mo Alie-Cox,4.633333333333334,0.6,16.2,4.535984073511669,55.6,,22.0,24.0,23.0,22.0
Noah Fant,5.6875,0.8,15.7,4.736788644922493,91.0,,17.0,13.0,15.0,16.0
Pat Freiermuth,5.73125,0.7,16.3,4.271099585196612,91.7,,16.0,12.0,14.0,14.0
Ricky Seals-Jones,3.95,0.8,11.8,3.530580688781946,39.5,,31.0,34.0,32.5,31.0
Rob Gronkowski,10.563636363636364,2.3,21.0,6.222422796190038,116.2,,3.0,5.0,4.0,4.0
Ryan Griffin,2.7214285714285715,0.4,8.8,2.57657452128524,38.1,,44.0,38.0,41.0,44.0
T.J. Hockenson,7.663636363636363,1.0,17.7,4.914930869762611,84.3,,8.0,16.0,12.0,11.0
Travis Kelce,10.675,0.7,31.1,7.634002881843837,170.8,,2.0,2.0,2.0,2.0
Tyler Conklin,4.547058823529412,0.6,13.1,3.6825802175680473,77.3,,24.0,19.0,21.5,21.0
Tyler Higbee,5.733333333333333,0.3,17.5,4.189385680616239,86.0,,15.0,14.0,14.5,15.0
Zach Ertz,6.276470588235294,0.6,20.8,5.143385243660627,106.7,,13.0,10.0,11.5,10.0
